181
   614783.62	6758566.50	552.13
   614790.50	6758573.00	551.54
   614797.44	6758580.00	551.76
   614797.19	6758577.50	551.68
   614790.31	6758571.00	551.59
   614783.44	6758564.50	552.06
   614777.94	6758559.00	553.89
   614773.19	6758554.50	557.11
   614771.69	6758552.00	556.32
   614777.81	6758557.50	551.87
   614783.31	6758563.00	552.00
   614790.25	6758569.50	551.52
   614797.19	6758576.00	551.59
   614793.44	6758570.50	551.46
   614786.50	6758564.00	551.71
   614779.75	6758557.50	561.76
   614776.38	6758554.50	561.77
   614775.25	6758552.00	564.17
   614781.31	6758557.50	557.85
   614788.19	6758564.00	551.74
   614795.06	6758570.50	551.48
   614798.19	6758571.50	551.44
   614791.31	6758565.00	551.56
   614784.38	6758558.50	551.93
   614778.88	6758553.00	551.83
   614777.50	6758550.00	552.09
   614783.06	6758555.50	555.32
   614789.25	6758561.50	551.65
   614796.12	6758568.00	551.41
   614799.94	6758570.00	551.43
   614793.00	6758563.00	551.59
   614786.12	6758556.50	552.51
   614780.81	6758552.00	565.18
   614780.88	6758550.00	561.18
   614787.62	6758556.50	551.59
   614794.50	6758563.00	551.45
   614796.19	6758562.50	551.48
   614789.31	6758556.00	551.71
   614783.38	6758551.00	567.02
   614784.75	6758550.50	563.83
   614790.75	6758556.00	552.22
   614797.69	6758562.50	551.42
   614795.94	6758559.00	551.51
   614789.12	6758552.50	557.56
   614789.00	6758550.50	551.30
   614795.94	6758557.50	551.47
   614794.94	6758554.50	551.38
   614798.38	6758556.00	551.43
   614794.06	6758550.00	551.67
   614799.50	6758553.50	551.39
   614798.00	6758550.00	551.33
